                  playlist_id                  |                                                                                                                                     quiz_prepost                                                                                                                                      
                                               | ANSWER: C                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Dalam konteks video ini, bagaimana analisis diskursus dapat dilihat sebagai metodologi atau metode teknis?                                                                                                                                                                           +
                                               | A. Analisis diskursus selalu dianggap sebagai metodologi dalam semua jenis penelitian.                                                                                                                                                                                               +
                                               | B. Analisis diskursus hanya bisa digunakan sebagai metode teknis dan tidak pernah sebagai metodologi.                                                                                                                                                                                +
                                               | C. Apakah analisis diskursus dilihat sebagai metodologi atau metode teknis tergantung pada perspektif peneliti dan konteks studi.                                                                                                                                                    +
                                               | D. Tidak ada kaitan antara analisis diskursus dengan metodologi atau metode dalam penelitian.                                                                                                                                                                                        +
                                               | ANSWER: C                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Video ini membahas tentang permasalahan dalam penelitian terutama bagi mereka yang beralih dari bidang praktik ke dunia akademis.                                                                                                                                                    +
                                               | A. Peneliti sering kali tidak familiar dengan metodologi kualitatif.                                                                                                                                                                                                                 +
                                               | B. Pragmatisme selalu mempengaruhi pilihan metode penelitian secara positif.                                                                                                                                                                                                         +
                                               | C. Pemahaman konteks sosial dan budaya dalam riset sosial dapat terhalang oleh kurangnya pemahaman tentang berbagai metodologi penelitian.                                                                                                                                           +
                                               | D. Orang yang masuk jenjang S3 selalu merasa percaya diri dengan pendekatan penelitian yang ada.                                                                                                                                                                                     +
                                               | ANSWER: C                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana pragmatisme mempengaruhi pilihan metode penelitian dalam konteks video ini?                                                                                                                                                                                                +
                                               | A. Mendorong penggunaan metodologi kuantitatif saja                                                                                                                                                                                                                                  +
                                               | B. Mengabaikan kebutuhan untuk pemahaman mendalam tentang paradigma penelitian                                                                                                                                                                                                       +
                                               | C. Memastikan bahwa semua paradigma dipertimbangkan sebelum memilih metode penelitian                                                                                                                                                                                                +
                                               | D. Menekankan pentingnya pendekatan kualitatif dalam riset sosial                                                                                                                                                                                                                    +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Seorang mahasiswa S3 mencoba untuk mengimplementasikan berbagai pendekatan penelitian yang sesuai dengan tugas dan topik penelitiannya, tetapi ia merasa kurang yakin tentang paradigma apa yang harus digunakan. Apa langkah pertama yang sebaiknya diambil oleh mahasiswa tersebut?+
                                               | A. Menyusun metodologi penelitian berdasarkan pendekatan pragmatisme saja.                                                                                                                                                                                                           +
                                               | B. Memahami dan mempelajari berbagai paradigma penelitian terlebih dahulu.                                                                                                                                                                                                           +
                                               | C. Mengabaikan pemahaman tentang paradigma dan fokus pada metode kuantitatif.                                                                                                                                                                                                        +
                                               | D. Menjalankan penelitian tanpa merencanakan pendekatan metodologi yang jelas.                                                                                                                                                                                                       +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Pengertian paradigma positivis kuantitatif dalam konteks video ini adalah...                                                                                                                                                                                                         +
                                               | A. Pendekatan yang menganggap realitas objektif dan dapat diukur secara numerik                                                                                                                                                                                                      +
                                               | B. Metode penelitian yang berfokus pada interpretasi makna subjektif pengalaman individu                                                                                                                                                                                             +
                                               | C. Paradigma yang menekankan pentingnya interaksi sosial dalam proses pembentukan kepercayaan diri                                                                                                                                                                                   +
                                               | D. Pendekatan ilmiah yang mengutamakan deskriptif dan eksploratif                                                                                                                                                                                                                    +
                                               | ANSWER: A                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana paradigma positivis kuantitatif mempengaruhi pendekatan metodologi penelitian dalam video ini?                                                                                                                                                                             +
                                               | A. Mendorong penggunaan metode kualitatif seperti wawancara mendalam                                                                                                                                                                                                                 +
                                               | B. Mengarahkan pada pengumpulan data berbasis angka dan analisis statistik                                                                                                                                                                                                           +
                                               | C. Memperkuat pentingnya interpretasi fenomena sosial dari perspektif subjektif individu                                                                                                                                                                                             +
                                               | D. Meningkatkan fokus pada penelitian etnografi dan observasi lapangan                                                                                                                                                                                                               +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana perpindahan paradigma yang dijelaskan dalam video ini mempengaruhi proses merumuskan desain riset?                                                                                                                                                                         +
                                               | A. Mengubah pendekatan metodologi dari kuantitatif ke kualitatif tanpa alasan jelas                                                                                                                                                                                                  +
                                               | B. Mendorong penulis untuk lebih fokus pada analisis data yang bersifat deskriptif dan interpretatif                                                                                                                                                                                 +
                                               | C. Memaksa peneliti untuk mengadopsi metode paradigma positivis kuantitatif secara eksklusif                                                                                                                                                                                         +
                                               | D. Memberikan pemahaman mendalam tentang bagaimana perubahan paradigma mempengaruhi pilihan metodologi penelitian                                                                                                                                                                    +
                                               | ANSWER: D                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Pada video ini, pertanyaan awal yang dibahas adalah tentang prinsip-prinsip apa yang telah diinternalisasi dalam audit kinerja.                                                                                                                                                      +
                                               | A. Keamanan dan privasi data                                                                                                                                                                                                                                                         +
                                               | B. Kepatuhan hukum dan etika bisnis                                                                                                                                                                                                                                                  +
                                               | C. Prinsip ekonomi, efisiensi, dan efektifitas                                                                                                                                                                                                                                       +
                                               | D. Manajemen risiko operasional                                                                                                                                                                                                                                                      +
                                               | ANSWER: C                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana pertanyaan penelitian seperti "does" dapat mempengaruhi metodologi penelitian dalam konteks audit kinerja?                                                                                                                                                                 +
                                               | A. Membantu menentukan metode pengumpulan data yang tepat                                                                                                                                                                                                                            +
                                               | B. Mengidentifikasi variabel independen dan dependen                                                                                                                                                                                                                                 +
                                               | C. Menentukan skala sampel penelitian                                                                                                                                                                                                                                                +
                                               | D. Memilih jenis statistik yang digunakan                                                                                                                                                                                                                                            +
                                               | ANSWER: A                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Dalam konteks audit kinerja, mengapa penting untuk hati-hati dalam membuat pertanyaan riset?                                                                                                                                                                                         +
                                               | A. Karena dapat mempengaruhi hasil akhir dari audit                                                                                                                                                                                                                                  +
                                               | B. Karena dapat menentukan metodeologinya, metode pembuktian, dan bukti yang akan diperoleh                                                                                                                                                                                          +
                                               | C. Karena dapat menentukan siapa saja pihak terkait dalam penelitian                                                                                                                                                                                                                 +
                                               | D. Karena dapat mempengaruhi laporan audit akhirnya                                                                                                                                                                                                                                  +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Pada video ini, teori apa yang digunakan oleh peneliti untuk memahami proses domestikasi teknologi?                                                                                                                                                                                  +
                                               | A. Teori Praktik                                                                                                                                                                                                                                                                     +
                                               | B. Domestikasi Teknologi                                                                                                                                                                                                                                                             +
                                               | C. The Theory of Practice                                                                                                                                                                                                                                                            +
                                               | D. Domestication Theory                                                                                                                                                                                                                                                              +
                                               | ANSWER: D                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana paradigma ontologi relativistik, epistemologi konstruktivis, dan perspektif sosial konstruksionis mempengaruhi pendekatan metodologi peneliti dalam video ini?                                                                                                             +
                                               | A. Membuat penelitian menjadi lebih objektif                                                                                                                                                                                                                                         +
                                               | B. Menggabungkan metode kuantitatif dan kualitatif (mixed method)                                                                                                                                                                                                                    +
                                               | C. Menyederhanakan proses desain riset awal                                                                                                                                                                                                                                          +
                                               | D. Memfokuskan pada analisis statistik saja                                                                                                                                                                                                                                          +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Dalam konteks video ini, bagaimana pemilihan paradigma yang tepat dapat mempengaruhi hasil penelitian?                                                                                                                                                                               +
                                               | A. Paradigma tidak berpengaruh sama sekali terhadap hasil penelitian.                                                                                                                                                                                                                +
                                               | B. Pemilihan paradigma yang tepat membantu dalam menginterpretasikan data sesuai dengan teori dan metode yang digunakan.                                                                                                                                                             +
                                               | C. Pemilihan paradigma hanya penting untuk publikasi jurnal ilmiah saja, bukan pada tahap awal desain riset.                                                                                                                                                                         +
                                               | D. Paradigma harus dipilih berdasarkan ketersediaan data lebih dari kecocokannya dengan tujuan penelitian.                                                                                                                                                                           +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Pengaruh pergantian profesor menurut video tersebut adalah?                                                                                                                                                                                                                          +
                                               | A. Tidak mempengaruhi pendekatan penelitian                                                                                                                                                                                                                                          +
                                               | B. Memperluas pemahaman paradigma penelitian                                                                                                                                                                                                                                         +
                                               | C. Menyulitkan proses belajar mahasiswa                                                                                                                                                                                                                                              +
                                               | D. Menghambat adaptasi dalam penelitian                                                                                                                                                                                                                                              +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Menurut video, apa yang penting bagi seorang siswa S3 saat memilih profesor?                                                                                                                                                                                                         +
                                               | A. Hanya mendapatkan bimbingan saja                                                                                                                                                                                                                                                  +
                                               | B. Profesor dengan reputasi terbaik                                                                                                                                                                                                                                                  +
                                               | C. Kecocokan diri dan paradigma penelitian                                                                                                                                                                                                                                           +
                                               | D. Jumlah publikasi profesor                                                                                                                                                                                                                                                         +
                                               | ANSWER: C                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana menurut pembicara, proses perubahan paradigma dalam penelitian harus dilakukan?                                                                                                                                                                                            +
                                               | A. Dengan cepat dan tiba-tiba                                                                                                                                                                                                                                                        +
                                               | B. Secara bertahap dengan fleksibilitas tinggi                                                                                                                                                                                                                                       +
                                               | C. Tanpa mempertimbangkan pendapat lain                                                                                                                                                                                                                                              +
                                               | D. Mengikuti tren terbaru saja                                                                                                                                                                                                                                                       +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Pengertian ontologis dalam post-structuralisme menekankan pada hal apa?                                                                                                                                                                                                              +
                                               | A. Cara pengetahuan dibentuk oleh bahasa dan kekuasaan                                                                                                                                                                                                                               +
                                               | B. Alasan adanya sesuatu yang menjadi pertanyaan fundamental                                                                                                                                                                                                                         +
                                               | C. Penolakan terhadap epistemologi karena membatasi metodologi penelitian                                                                                                                                                                                                            +
                                               | D. Identitas individu yang dibentuk oleh struktur sosial                                                                                                                                                                                                                             +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana post-structuralisme melihat peran bahasa dalam produksi pengetahuan?                                                                                                                                                                                                       +
                                               | A. Bahasa tidak memiliki pengaruh terhadap cara kita memahami dunia                                                                                                                                                                                                                  +
                                               | B. Bahasa hanya berfungsi sebagai alat komunikasi biasa                                                                                                                                                                                                                              +
                                               | C. Bahasa membentuk dan mengontrol bagaimana pengetahuan diproduksi dalam konteks kekuasaan                                                                                                                                                                                          +
                                               | D. Bahasa tidak penting dalam studi agama dan budaya                                                                                                                                                                                                                                 +
                                               | ANSWER: C                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Dalam konteks post-structuralisme, apa implikasi dari penggunaan paradigma ini pada desain penelitian di bidang psikoanalisis?                                                                                                                                                       +
                                               | A. Menyediakan kerangka pemahaman yang statis untuk semua studi psikoanalisis                                                                                                                                                                                                        +
                                               | B. Membatasi metode penelitian dengan prinsip epistemologis tertentu                                                                                                                                                                                                                 +
                                               | C. Memungkinkan alternatif baru dalam memahami dan mengubah psikologi manusia melalui bahasa                                                                                                                                                                                         +
                                               | D. Mengabaikan perubahan struktural sosial yang membentuk identitas individu                                                                                                                                                                                                         +
                                               | ANSWER: C                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Pada video ini, penelitian awalnya berfokus pada aspek teknis audit dan kemudian diubah menjadi "performativity" berdasarkan teori Judith Butler.                                                                                                                                    +
                                               | A. Teori performativity tidak dipakai dalam desain penelitian.                                                                                                                                                                                                                       +
                                               | B. Penelitian tetap fokus pada aspek teknis audit tanpa pengaruh dari teori Judith Butler.                                                                                                                                                                                           +
